name,category,subsidiary of / alias of,stakeholdergroup,nationality,email domain names,Membership Organization,Wiki Page
Lenovo Future Communications Technology (Chongqing) Co.  Ltd.,"Hardware Provider, Consumer hardware and software vendor",Lenovo (Beijing) Ltd,Business,China,,CCSA,
Lenovo Mobile Communication Technology Ltd.,"Hardware Provider, Consumer hardware and software vendor",Lenovo (Beijing) Ltd,Business,China,,CCSA,
MediaTek (Chengdu) Inc.,"Software Provider, Hardware Provider, Consumer hardware and software vendor",MediaTek Incorporated,Business,China,mediatek.com,CCSA,
MediaTek (Hefei) Inc.,"Software Provider, Hardware Provider, Consumer hardware and software vendor",MediaTek Incorporated,Business,China,,CCSA,
MediaTek (Shenzhen) Inc.,"Software Provider, Hardware Provider, Consumer hardware and software vendor",MediaTek Incorporated,Business,China,,CCSA,
MediaTek (Wuhan) Inc.,"Software Provider, Hardware Provider, Consumer hardware and software vendor",MediaTek Incorporated,Business,China,,CCSA,
MediaTek Beijing Inc.,"Software Provider, Hardware Provider, Consumer hardware and software vendor",MediaTek Incorporated,Business,China,,CCSA,
Meizu Technology,Consumer hardware and software vendor,,Business,China,,CCSA,
Ministry of Industry and Information Technology (MIIT),,,Government,China,,,
NANJING ERICSSON PANDA COMMUNICATIONS LTD,Networking equipment vendor,Ericsson,Business,China,,CCSA,
Nanjing University of Posts and Telecommunications,Research Institution,,Academia,China,,,
New H3C Technologies Co.  Ltd.,Hardware Provider,Tsinghua Unisplendour,Business,China,h3c.com,CCSA,
Nokia Shanghai Bell Co. Ltd,Networking equipment vendor,Nokia Corporation,Business,China,,CCSA,
Nubia Technology Co. Ltd,Consumer hardware and software vendor,,Business,China,,CCSA,
Nufront (Beijing) Technology Co.  Ltd.,Chipmaker,,Business,China,,CCSA,
OnePlus (Shenzhen) Technology Co.  LTD,Consumer hardware and software vendor,,Business,China,,CCSA,
Peking University,Research Institution,,Academia,China,pku.edu.cn,CCSA,
Pengcheng laboratory,Research Institution,,Government,China,,CCSA,
Potevio Company Limited,Hardware Provider,,Business,China,,CCSA,
Purple Mountain Laboratories: Networking  Communications and Security,"Research Institution, Cybersecurity",,Government,China,,CCSA,
Qihoo 360 Technology Co.  Ltd.,Cybersecurity,,Business,China,,CCSA,
Quectel Wireless Solutions Co.  Ltd.,Technology research and development company,,Business,China,,CCSA,
SAICT,Research Institution,,Academia,China,,ETSI,
Samsung Guangzhou Mobile R&D Center,Technology research and development,Samsung Electronics Ind. Co.  Ltd.,Business,China,,CCSA,
Sanechips Technology Co.   Ltd.,Chipmaker,,Business,China,,CCSA,
Shanghai Chen Si Electronics Technology Co.  Ltd,Networking equipment vendor,,Business,China,,CCSA,
Shanghai Jiao Tong University,Research Institution,,Academia,China,sjtu.edu.cn,CCSA,
Shanghai Langbo Communication Technology Co.  Ltd.,Technology research and development,,Business,China,,CCSA,
Shanghai National Engineering Research Center of Digital Television Co. Ltd.,Research Institution,,Academia,China,,CCSA,
Shanghai Quanray Electronics Co.  Ltd.,Hardware Provider,,Business,China,,CCSA,
Shanghai Tejet Communications Technology Co.  Ltd.,Testing and Certification,,Business,China,,CCSA,
Shenyang Institute of Automation  Chinese Academy of Sciences,Research Institution,,Academia,China,,CCSA,
Shenzhen city Tencent computer system Co. Ltd.,Consumer hardware and software vendor,Tencent,Business,China,tencent.com,CCSA,
Shenzhen Goodix Technology Co.  Ltd.,Chipmaker,,Business,China,,CCSA,
Shenzhen Yun Zhong Fei Network Technology Co.,Technology research and development,,Business,China,,CCSA,
ShenZhen Zhongxing Shitong Tech. Co. Ltd.,Technology research and development,,Business,China,,CCSA,
Smarter Microelectronics(Guangzhou) Co. Ltd,Hardware Provider,,Business,China,,CCSA,
Southwest Jiaotong university,Research Institution,,Academia,China,,CCSA,
Spreadtrum Communications (Shanghai) Co.  Ltd.,Chipmaker,,Business ,China,,CCSA,
TCL Communication Ltd.,Networking equipment vendor,,Business,China,,CCSA,
TD Tech Ltd,Networking equipment vendor,,Business,China,,CCSA,
Telecommunication Development Industry Alliance,Association,,Business,China,,OTHER,
Tencent cloud computing Beijing Co.  Ltd,"Software Provider, Technology research and development company",Tencent,Business,China,tencent.com,CCSA,
The State Radio_monitoring_center Testing Center,Testing and Certification,,Business,China,,CCSA,
Tongji University,Research Institution,,Academia,China,tongji.edu.cn,CCSA,
Transsion Holdings,Consumer hardware and software vendor,,Government,China,,CCSA,
Tsinghua University,Research Institution,,Academia,China,"csnet1.cs.tsinghua.edu.cn, mails.tsinghua.edu.cn, cernet.edu.cn",,
Unicom Broadband Online Co.  Ltd.,Telecommunications Provider,China Unicom,Business,China,,CCSA,
Unicom Vsens Telecommunications Co.  Ltd,Telecommunications Provider,China Unicom,Business,China,,CCSA,
Unicompay Co.  Ltd.,Telecommunications Provider,China Unicom,Business,China,,CCSA,
University of Electronic Science and Technology of China,Research Institution,,Academia,China,,CCSA,
Vanchip (Tianjin) Technology Co.  Ltd.,Chipmaker,,Business,China,,CCSA,
vivo Communication Technology Co.  Ltd.,Consumer hardware and software vendor,vivo Mobile Communication Co.  Ltd,Business,China,,CCSA,
vivo Mobile Communication (Chongqing) Co.  Ltd,Consumer hardware and software vendor,vivo Mobile Communication Co.  Ltd,Business,China,,CCSA,
vivo Mobile Communication (Hangzhou) Co.  Ltd.,Consumer hardware and software vendor,vivo Mobile Communication Co.  Ltd,Business,China,,CCSA,
vivo Mobile Communication (Shenzhen) Co.  Ltd.,Consumer hardware and software vendor,vivo Mobile Communication Co.  Ltd,Business,China,,CCSA,
vivo Mobile Communication Co.  Ltd,Consumer hardware and software vendor,,Business,China,vivo.com,CCSA,
Wuhan University,Research Institution,,Academia,China,,,
Xiaomi Communications,"Consumer hardware and software vendor, Software Provider, Hardware Provider",Xiaomi Technology,Business,China,xiaomi.com,CCSA,
Xiaomi Technology,"Consumer hardware and software vendor, Software Provider, Hardware Provider",,Business,China,xiaomi.com,CCSA,
Xidian University,Research Institution,,Academia,China,,CCSA,
ZEKU TECHNOLOGY (SHANGHAI) CORP.  LTD.,Technology research and development company,,Business,China,,CCSA,
ZHE JIANG GEESPACE TECHNOLOGY CO.  LTD.,Satellite Communications Provider,Geely Technology Group,Business,China,,CCSA,
Zhejiang Lab,Research Institution,"Alibaba, Zhejiang University",Academia,China,,CCSA,
Zhejiang University,Research Institution,,Academia,China,,CCSA,
ZONSON SAMRT AUTO CORPORATION,Consumer hardware and software vendor,,Business,China,,CCSA,
ZTE,Networking equipment vendor,,Business,China,"zte.com.cn, zte.com",CCSA,
ZTE Corporation,Networking equipment vendor,ZTE,Business,China,,ETSI,
ZTE Photonics Technology Co. Ltd.,Networking equipment vendor,ZTE,Business,China,,CCSA,
ZXNE CORPORATION,,,Business,China,,CCSA,
"Ministère des Postes, Télécommunications et Nouvelles Technologies de l'Information et de la Communication",,,Government,Congo,,,
CZ NIC,Internet Registry,,Business,Czech Republic,nic.cz,,
Czech Telecommunication Office,Regulatory Body,,Government,Czech Republic,,ETSI,
Mesaqin.com s.r.o (Ltd.),Software Provider,,Business,Czech Republic,,ETSI,
Samsung Electronics Czech,"Software Provider, Hardware Provider, Consumer hardware and software vendor, Technology research and development company",Samsung Electronics Ind. Co.  Ltd.,Business,Czech Republic,,ETSI,
Aalborg University,Research Institution,,Academia,Denmark,es.aau.dk,,
Anemone Technology,Consulting,,Business,Denmark,,ETSI,
European Communications Office,,,Intergovernmental Organization,Denmark,,ETSI,
FORCE Technology,"Consulting, Software Provider",,Business,Denmark,,ETSI,
Gatehouse Satcom A/S,Software Provider,,Business,Denmark,,ETSI,
Motorola Solutions Danmark A/S,"Software Provider, Hardware Provider, Consumer hardware and software vendor",Motorola,Business,Denmark,motorolasolutions.com,ETSI,
Nokia Denmark A/S,Networking equipment vendor,Nokia Corporation,Business,Denmark,,ETSI,
Verizon Denmark A/S,Internet Registry,Verizon,Business,Denmark,,ETSI,
Ministerio de Telecomunicaciones y de la Sociedad de la Información (MINTEL)  ,,,Government,Ecuador,,,
"Mandat International , National Telecommunication Regulatory Authority (NTRA)  ",Regulatory Body,,Government,Egypt,,,
Telecom Fiji Ltd,Telecommunications Provider,,Business,Fiji,,ETSI,
Bittium Wireless Ltd.,Networking equipment vendor,,Business,Finland,,ETSI,
CUJO Al Finland,Software Provider,CUJO Al,Business,Finland,,ETSI,https://en.wikipedia.org/wiki/CUJO_AI
ETS-Lindgren Europe,Software Provider,,Business,Finland,,ETSI,
Fairspectrum Oy,Hardware Provider,,Business,Finland,,ETSI,
Intel Finland Oy,Chipmaker,Intel,Business,Finland,,ETSI,
InterDigital Finland Oy,Technology research and development company,InterDigital,Business,Finland,,ETSI,
LG Electronics Finland Lab Oy,"Hardware Provider, Consumer hardware and software vendor",LG Electronics Inc.,Business,Finland,,ETSI,
Magister Solutions Ltd,Technology research and development company,,Business,Finland,,ETSI,
Nokia Corporation,Networking equipment vendor,,Business,Finland,,ETSI,
Oy LM Ericsson AB,Networking equipment vendor,Ericsson,Business,Finland,,ETSI,
Qualcomm Finland RFFE Oy,Chipmaker,Qualcomm Incorporated,Business,Finland,,ETSI,
Suomen Erillisverkot Oy,Cybersecurity,,Business,Finland,,ETSI,
The Finnish Transport and Communications Agency,,,Government,Finland,,ETSI,
University of Helsinki,Research Institution,,Academia,Finland,cs.helsinki.fi,,
VTT Technical Research Centre of Finland,Research Institution,,Academia,Finland,,ETSI,
WE Certification Oy,Testing and Certification,,Business,Finland,,ETSI,
Airbus DS SLC,Telecommunications Provider,,Business,France,airbus.com,ETSI,
Alcatel-Lucent International,Networking equipment vendor,Nokia Corporation,Business,France,"alcatel-lucent.com, alcatel-lucent.fr , lucent.com, alcatel.be",ETSI,
Apple France,Consumer hardware and software vendor,Apple,Business,France,,ETSI,
AQSACOM S.A.S.,Software provider,,Business,France,aqsacom.com,ETSI,
ATEME SA,Software Provider,,Business ,France,,ETSI,
Autorité de régulation des communications électroniques et des postes,Regulatory Body,,Government,France,,ETSI,
B-Com,Research Institution,,,France,,ETSI,
BOUYGUES Telecom,Telecommunications Provider,,Business,France,,ETSI,https://en.wikipedia.org/wiki/Bouygues_Telecom
BROADPEAK,Networking equipment vendor,,Business,France,broadpeak.tv,ETSI,
Bull SAS,Consumer hardware and software vendor,,Business,France,,ETSI,https://en.wikipedia.org/wiki/Groupe_Bull
CANON Research Centre France SAS,Technology research and development company,Canon Inc. ,Business,France,,ETSI,
Cisco Systems France,Networking equipment vendor,Cisco,Business,France,,ETSI,
CNES - Centre National d'Etudes Spatiales,Research Institution,,Academia,France,,ETSI,
Commissariat à l'Energie Atomique et et aux Energies Alternatives,,,Government,France,,ETSI,
EDF,Infrastructure Company,,Business,France,,ETSI,
Electronique Telematique ETELM,Network Service Provider,,Business,France,,ETSI,
ENENSYS Technologies SA,Software Provider,,Business,France,,ETSI,
Ericsson France S.A.S,Networking equipment vendor,Ericsson,Business,France,,ETSI,
EURECOM,Research Institution,,Academia,France,,ETSI,
European Telecommunications Standards Institute,Regional Standards Body,,Technical Community,France,"etsi.fr , etsi.org",ETSI,
Eutelsat S.A.,Satellite Communications Provider,,Business,France,,ETSI,
France Brevets,Research Institution,,Government,France,,ETSI,
Hewlett-Packard Enterprise,"Hardware Provider, Software Provider",Hewlett-Packard,Business,France,,ETSI,
Huawei Technologies France,Networking equipment vendor,Huawei Device Co. Ltd,Business,France,,ETSI,
IDEMIA,,,,France,idemia.com,ETSI,
IMT Atlantique,Research Institution,,Academia,France,imt-atlantique.fr,,
Inria,Research Institution,,Academia,France,inria.fr,,
Institut Mines-Telecom,Research Institution,,Academia,France,,ETSI,
Institute VEDECOM,Research Institution,,Academia,France,,ETSI,
Intel Corporation SAS,Chipmaker,Intel,Business,France,,ETSI,
InterDigital France R&D SAS,Technology research and development company,InterDigital,Business,France,,ETSI,
Intersec SA,"Software Provider, Consulting",,Business,France,,ETSI,
ITRON SAS,"Software Provider, Hardware Provider",,Business,France,,ETSI,
Kontron Transportation France  S.A.S,Telecommuncations Provider,,Business,France,kontron.com,ETSI,
LEGRAND FRANCE ISERE,Hardware Provider,,Business,France,,ETSI,
LG Electronics France,"Hardware Provider, Consumer hardware and software vendor",LG Electronics Inc.,Business,France,,ETSI,
Microsoft Europe SARL,Consumer hardware and software vendor,Microsoft,Business,France,,ETSI,
Ministère de l'Economie et des Finances,,,Government,France,finances.gouv.fr,ETSI,
MINISTERE DE L'INTERIEUR,,,Government,France,,ETSI,
Mitsubishi Electric R&D Centre Europe,"Hardware Provider, Consumer hardware and software vendor",Mitsubishi Electric Co.,Business,France,,ETSI,
Motorola Mobility France S.A.S,"Software Provider, Hardware Provider, Consumer hardware and software vendor",Motorola,Business,France,,ETSI,
MVG Industries,Networking equipment vendor,,Business,France,,ETSI,
Orange,Telecommunications Provider,,Business ,France,"orange-ftgroup.com , orange.com",,
PCCW Global B.V.,Telecommunications Provider,,Business,France,pccwglobal.com,ETSI,
Qualcomm communications S.A.R.L,Chipmaker,Qualcomm Incorporated,Business,France,,ETSI,
Sagemcom Broadband SAS,Networking Service Provider,,Business,France,,TSDSI,
Samsung Electronics France SA,"Software Provider, Hardware Provider, Consumer hardware and software vendor, Technology research and development company",Samsung Electronics Ind. Co.  Ltd.,Business,France,,ETSI,
Secrétariat Général de la Défense et de la Sécurité Nationale (SGDSN),,,Government,France,,ETSI,
Sequans Communications,Chipmaker,,Business,France,sequans.com,ETSI,
Sierra Wireless  S.A.,Networking equipment vendor,,Business,France,,ETSI,
TDF SAS,Networking Service Provider,,Business,France,,ETSI,
Texas Instruments France,Chipmaker,,Business,France,,ETSI,
THALES,Software Provider,,Business,France,"thalesgroup.com, thalesaleniaspace.com",ETSI,
Union Internationale des Chemins de Fer,Association,,Business,France,,ETSI,
Valeo,Hardware Provider,,Business,France,,,
450connect GmbH,,,Business,Germany,,ETSI,
5G Automotive Association,Association,,Business,Germany,,OTHER,
5G-ACIA,,,,Germany,,OTHER,
7LAYERS GmbH,Telecommunications Provider,,Business,Germany,7layers.de,ETSI,
adare GmbH,Software provider,,Business,Germany,,ETSI,
ADTRAN GmbH,Networking equipment vendor,ADTRAN Inc,Business,Germany,,ETSI,
albis-elcon system Germany GmbH,Telecommunications Provider,,Business,Germany,,ETSI,
Andrew Wireless Systems GmbH,Networking equipment vendor,,Business,Germany,,ETSI,
Apple GmbH,Consumer hardware and software vendor,Apple,Business,Germany,,ETSI,
Bundesamt für Verfassungsschutz,Regulatory Body,,Government,Germany,verfassungsschutz.de,ETSI,
Bundeskriminalamt,,,Government,Germany,,ETSI,
Central Office for Information Technology in the Security Sector,,,Government,Germany,,ETSI,
CETECOM GmbH - Certification and Testing in Communications,Testing and Certification,RWTÜV Group,Business,Germany,,ETSI,
Comprion GmbH,Software Provider,,Business,Germany,,ETSI,
Continental Automotive GmbH,Hardware Provider,,Business,Germany,,ETSI,
Deutsche Telekom,Telecommunications Provider,,Business,Germany,telekom.de,ETSI,
Deutsches Zentrum für Luft- und Raumfahrt e.V.,Technology research and development company,,Government,Germany,,ETSI,
DOCOMO Communications Laboratories Europe GmbH,Technology research and development company,Nippon Telegraph and Telephone Corporation (NTT),Business,Germany,docomolab-euro.com,,
Ericsson GmbH  Eurolab - Unternehmensbereich Forschung und Entwicklung,Networking equipment vendor,Ericsson,Business,Germany,,ETSI,
European Patent Organisation,,,Intergovernmental Organization,Germany,,ETSI,
